Nombre,Posicion,Puntos_Totales,Media,Subida_Bajada,Precio,puntos_ultima_jornada,puntos_penultima_jornada,puntos_antepenultima_jornada
G. Pezzella,Defensa,88,4.9,↑,11856000.0,8.0,12.0,4.0
J. Bamba,Delantero,88,4.9,↓,8879000.0,2.0,3.0,0.0
A. Rüdiger,Defensa,87,4.8,↑,15079000.0,5.0,6.0,14.0
C. Stuani,Delantero,87,4.8,↓,5694000.0,0.0,2.0,2.0
D. Blind,Defensa,87,4.6,↑,11997000.0,6.0,4.0,10.0
D. Vivian,Defensa,87,4.6,↑,10326000.0,6.0,6.0,5.0
S. Dimitrievski,Portero,87,4.6,↓,7400000.0,7.0,3.0,3.0
S. Lino,Mediocentro,86,5.7,↓,14529000.0,4.0,4.0,0.0
Y. Herrera,Mediocentro,86,5.7,↓,10978000.0,0.0,0.0,0.0
R. Lewandowski,Delantero,86,5.1,↓,20929000.0,3.0,5.0,-1.0
O. Sancet,Mediocentro,86,5.1,↑,14861000.0,7.0,3.0,5.0
P. Gazzaniga,Portero,86,4.5,↑,10382000.0,4.0,5.0,7.0
L. Yamal,Delantero,86,4.5,↓,10241000.0,2.0,3.0,2.0
N. Maksimović,Mediocentro,86,4.5,↓,9803000.0,6.0,5.0,3.0
J. Ledesma,Portero,85,5.3,↓,10032000.0,3.0,0.0,3.0
L. Ocampos,Delantero,85,4.7,↑,11257000.0,0.0,9.0,3.0
A. Witsel,Defensa,85,4.7,↓,10559000.0,1.0,5.0,2.0
D. Soria,Portero,85,4.5,↓,10015000.0,6.0,4.0,3.0
D. López,Defensa,84,5.6,↓,10852000.0,7.0,2.0,0.0
I. Aspas,Delantero,84,4.7,↑,17590000.0,-3.0,0.0,9.0
M. Greenwood,Delantero,83,5.5,↑,12219000.0,10.0,11.0,-1.0
V. Tsygankov,Mediocentro,82,5.9,↑,14526000.0,0.0,0.0,0.0
R. Alcaraz,Mediocentro,82,4.6,↓,4045000.0,4.0,4.0,2.0
M. Llorente,Mediocentro,82,4.3,↓,10420000.0,1.0,6.0,2.0
H. Traoré,Defensa,82,4.3,↓,9374000.0,6.0,2.0,5.0
V. Muriqi,Delantero,81,6.8,↓,12291000.0,0.0,0.0,0.0
F. Torres,Delantero,81,4.5,↑,8318000.0,3.0,6.0,9.0
J. Guridi,Mediocentro,81,4.5,↓,3916000.0,3.0,2.0,3.0
M. Uzuni,Delantero,81,4.3,↑,3507000.0,3.0,3.0,8.0
J. Cancelo,Defensa,80,5.0,↓,16160000.0,6.0,5.0,1.0
R. De Paul,Mediocentro,80,5.0,↑,11767000.0,1.0,3.0,9.0
J. Guerra,Mediocentro,80,4.7,↓,8787000.0,0.0,0.0,2.0
S. Cardona,Defensa,80,4.4,↓,11265000.0,0.0,6.0,3.0
I. Zubeldia,Defensa,80,4.4,↓,10045000.0,7.0,5.0,4.0
M. Merino,Mediocentro,79,4.9,↑,12657000.0,4.0,3.0,5.0
S. Omorodion,Delantero,79,4.4,↓,5808000.0,2.0,2.0,2.0
U. Núñez,Defensa,79,4.2,↑,10170000.0,4.0,3.0,5.0
L. Ramazani,Delantero,79,4.2,↓,3125000.0,2.0,2.0,1.0
D. López,Delantero,78,4.1,↓,5085000.0,4.0,4.0,2.0
A. Barrenetxea,Mediocentro,77,5.1,↑,8829000.0,0.0,0.0,5.0
A. Sørloth,Delantero,77,4.8,↓,9078000.0,1.0,4.0,0.0
F. Giménez,Defensa,77,4.3,↑,5061000.0,2.0,6.0,5.0
R. Araújo,Defensa,76,5.8,↓,14980000.0,4.0,2.0,3.0
I. Ruiz De Galarreta,Mediocentro,76,5.4,↑,8905000.0,0.0,0.0,6.0
J. Félix,Delantero,76,4.8,↓,14885000.0,8.0,-1.0,4.0
L. Modrić,Mediocentro,76,4.8,↑,12130000.0,13.0,3.0,8.0
I. Rakitić,Mediocentro,76,4.5,↓,14323000.0,1.0,0.0,4.0
M. Mármol,Defensa,76,4.5,↓,10058000.0,4.0,4.0,7.0
D. Rodríguez,Mediocentro,76,4.2,↑,5981000.0,4.0,14.0,3.0
A. Sivera,Portero,76,4.0,↑,6169000.0,2.0,3.0,4.0
F. Pérez,Mediocentro,76,4.0,↑,2687000.0,4.0,2.0,5.0
S. Coco,Defensa,75,4.7,↓,7535000.0,4.0,6.0,3.0
Ó. Valentín,Mediocentro,75,4.4,↑,5314000.0,5.0,0.0,6.0
A. Guevara,Mediocentro,75,4.2,↑,4755000.0,4.0,3.0,5.0
F. De Jong,Mediocentro,74,6.7,↑,17797000.0,7.0,0.0,6.0
B. Díaz,Mediocentro,74,5.3,↑,10374000.0,14.0,6.0,5.0
W. José,Delantero,74,4.6,↓,9177000.0,2.0,4.0,1.0
A. Prats,Delantero,74,4.6,↓,2805000.0,2.0,2.0,2.0
D. Parejo,Mediocentro,74,4.1,↑,11258000.0,2.0,10.0,1.0
A. Oroz,Mediocentro,74,3.9,↑,4357000.0,4.0,2.0,3.0
A. Paredes,Defensa,73,3.8,↑,5849000.0,6.0,5.0,13.0
Gavi,Mediocentro,72,6.0,↓,6288000.0,0.0,0.0,0.0
S. Herrera,Portero,72,4.5,↑,7070000.0,8.0,6.0,4.0
G. Álvarez,Defensa,72,4.2,↓,8025000.0,5.0,3.0,2.0
S. Ñíguez,Mediocentro,72,3.8,↓,3914000.0,1.0,3.0,0.0
T. Stegen,Portero,71,5.5,↓,6077000.0,0.0,0.0,0.0
M. Hermoso,Defensa,71,4.2,↓,10031000.0,1.0,5.0,3.0
A. Baena,Mediocentro,70,4.4,↓,12172000.0,1.0,6.0,0.0
E. García,Defensa,70,4.4,↓,9764000.0,7.0,5.0,1.0
Joselu,Delantero,70,3.7,↓,11355000.0,1.0,2.0,3.0
Koke,Mediocentro,69,4.6,↓,8529000.0,1.0,4.0,0.0
R. Le Normand,Defensa,69,4.3,↑,11185000.0,6.0,4.0,4.0
A. Pedrosa,Defensa,69,4.1,↑,7797000.0,2.0,13.0,2.0
U. López,Mediocentro,69,4.1,↑,2495000.0,3.0,3.0,5.0
D. García,Defensa,69,3.8,↓,6838000.0,4.0,2.0,3.0
P. Ciss,Mediocentro,69,3.8,↓,2574000.0,4.0,4.0,4.0
A. Gorosabel,Defensa,69,3.6,↑,4968000.0,2.0,6.0,4.0
K. García,Delantero,69,3.6,↑,1010000.0,2.0,1.0,2.0
D. Rico,Defensa,68,4.9,↓,9961000.0,8.0,5.0,2.0
J. Araujo,Defensa,68,4.3,↓,6725000.0,5.0,6.0,0.0
J. Luis Gayà,Defensa,67,5.2,↑,10497000.0,0.0,0.0,6.0
R. Riquelme,Mediocentro,67,4.5,↑,8159000.0,0.0,5.0,6.0
L. Robertone,Mediocentro,67,4.5,↓,7624000.0,3.0,0.0,4.0
S. Darder,Mediocentro,67,3.9,↓,9696000.0,4.0,2.0,2.0
C. Mosquera,Defensa,67,3.9,↑,7028000.0,6.0,7.0,6.0
G. Gumbau,Mediocentro,67,3.9,↓,3917000.0,5.0,3.0,0.0
G. Villar,Mediocentro,67,3.9,↑,2666000.0,1.0,1.0,6.0
G. Rodríguez,Mediocentro,66,4.7,↓,3710000.0,0.0,0.0,0.0
C. Starfelt,Defensa,66,4.1,↓,4657000.0,0.0,2.0,0.0
R. Martí,Delantero,66,4.1,↓,2580000.0,3.0,0.0,0.0
M. El Haddadi,Delantero,66,3.5,↓,5115000.0,3.0,3.0,9.0
Ó. De Marcos,Defensa,65,4.6,↓,6110000.0,0.0,0.0,0.0
Raphinha,Delantero,65,4.3,↑,13480000.0,4.0,11.0,3.0
Á. Correa,Delantero,65,4.3,↓,3338000.0,1.0,0.0,1.0
L. Baptistão,Delantero,64,4.0,↑,3703000.0,3.0,10.0,2.0
J. Latasa,Delantero,64,3.4,↓,3501000.0,5.0,6.0,-4.0
J. Koundé,Defensa,63,3.9,↓,11153000.0,3.0,2.0,3.0
T. Correia,Defensa,63,3.7,↓,4967000.0,4.0,-3.0,0.0
E. Camavinga,Mediocentro,62,4.8,↑,10339000.0,0.0,0.0,0.0
L. Maximiano,Portero,62,3.9,↓,5498000.0,6.0,9.0,2.0
S. Akieme,Defensa,62,3.9,↑,1422000.0,2.0,4.0,2.0
J. Muñoz,Mediocentro,62,3.3,↑,5190000.0,5.0,4.0,6.0
E. Loiodice,Mediocentro,62,3.3,↓,1356000.0,0.0,5.0,2.0
