Posicion,Nombre,Puntos Totales,Media,PJ,Ultimos puntos
DL,Javi Llabrés,16,1.6,10,--2--
DL,Famara Diédhiou,16,2,8,-----
MC,Arambarri,14,2,7,-----
DF,Sabaly,14,4.7,3,-----
MC,Sergi Altimira,14,2,7,2226-
DF,Adrià Altimira,14,1.6,9,-22-222
PT,Raúl Fernández,14,3.5,4,-----
MC,Njegos Petrovic,14,1.4,10,-2-2-2
PT,Francisco Vieites,14,4.7,3,-----
DF,Juanpe,14,2,7,-22--
DF,Tanguy Nianzou,14,4.7,3,2---10
DF,Nahuel Tenaglia,14,1.4,10,2-22-
DL,Rafa Mir,13,1,13,-22-2--
DL,Roman Yaremchuk,13,1,13,922--
DL,Marc Guiu,13,13,1,-----
DF,Kaiky,13,2.2,6,-----
PT,Aitor Fernández,12,3,4,-----
DF,Cenk Özkacar,12,1.5,8,-----
DL,Brian Ocampo,12,2.4,5,26-2-
DL,Franco Cervi,12,1.2,10,-2222-
DF,Pep Chavarría,12,2,6,22-6-
DF,Jorge Meré,12,2,6,-----
DF,Mihailo Ristic,12,1.7,7,--22--
DL,Raúl García,12,1.5,8,22---
DF,Chust,12,2.4,5,-66--4
DL,Xeber Alkain,12,1.3,9,-----
DF,Domingos Duarte,11,1,11,-2--42
DF,Aidoo,10,1.7,6,-----
MC,Denis Suárez,10,2.5,4,-----
DF,Copete,10,1.3,8,-----
DF,Marc Pubill,10,2,5,2----
DL,Lázaro,10,0.8,12,-22-2-2
DF,Jesús Vázquez,10,1.4,7,222--
DF,Jorge Herrando,10,3.3,3,----2
DF,Yeray,8,1.6,5,-----
MC,Oriol Romeu,8,0.6,14,-6---
DL,Borja Iglesias,8,0.8,10,-22---
MC,Escalante,8,0.7,11,-----
DF,César Montes,8,0.8,10,222-22
DF,Galán,8,1.6,5,-----
DL,Choco Lozano,8,1.3,6,----2
DF,S. Van Der Heyden,8,1.6,5,2----
DF,Andrei Ratiu,8,2,4,-2---
DF,Zaldua,8,2,4,----2
MC,Arnau Puigmal,8,0.7,11,-----
DL,Guardiola,8,0.9,9,22---
DF,Carlos Romero,8,2,4,-2---
DL,Malcom Ares,8,2.7,3,2----
DF,Momo Mbaye,8,2,4,---6-2
DF,Bruno Méndez,6,6,1,6----
PT,Augusto Batalla,6,6,1,6----
DF,Militão,6,6,1,-----
DL,André Silva,6,1.2,5,2-2--
