,NOMBRE,EQUIPO,MJ,PJ,PPJ,PC,PPC,PT,PPT,PS,PPS,TA,TR,SA,G,PR,GPP,GE
,GORKA RIVERA,GETAFE CF,2,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,GUIDO RODRIGUEZ,REAL BETIS,1076,14,27.78,8,27.78,13,27.78,5,27.78,5,0,0,1,0,0,10
,HAMARI TRAORE,REAL SOCIEDAD,1388,18,33.33,10,33.33,16,33.33,6,33.33,4,0,0,0,0,0,16
,HOUBOULANG MENDES,UD ALMERIA,396,7,11.11,2,11.11,4,11.11,2,11.11,0,0,0,0,0,0,11
,HUGO DURO,VALENCIA CF,1477,18,61.11,6,61.11,17,61.11,11,61.11,2,0,0,7,1,0,19
,HUGO GONZALEZ,VALENCIA CF,47,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,HUGO GUILLAMON,VALENCIA CF,343,11,0.00,2,0.00,2,0.00,0,0.00,2,0,0,1,0,0,5
,HUGO SOTELO,RC CELTA,305,8,16.67,0,16.67,3,16.67,3,16.67,0,0,0,0,0,0,7
,HECTOR BELLERIN,REAL BETIS,939,12,11.11,10,11.11,12,11.11,2,11.11,0,1,0,0,0,1,10
,IAGO ASPAS,RC CELTA,1275,17,44.44,7,44.44,15,44.44,8,44.44,4,1,0,1,0,0,18
,IANIS HAGI,DEPORTIVO ALAVES,554,14,33.33,0,33.33,6,33.33,6,33.33,2,0,0,0,0,0,8
,IBRAHIMA KONE,UD ALMERIA,261,8,11.11,0,11.11,2,11.11,2,11.11,0,0,0,0,0,0,11
,IBRAHIMA KEBE,GIRONA FC,7,2,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,0
,IDDRISU BABA,UD ALMERIA,967,17,27.78,5,27.78,10,27.78,5,27.78,5,0,0,0,0,0,34
,IGNASI MIQUEL,GRANADA CF,1575,18,5.56,17,5.56,18,5.56,1,5.56,3,0,0,0,0,0,40
,IGOR ZUBELDIA,REAL SOCIEDAD,1411,17,16.67,13,16.67,16,16.67,3,16.67,6,0,0,0,0,0,16
,IKER MUNIAIN,ATHLETIC CLUB,317,11,16.67,0,16.67,3,16.67,3,16.67,1,0,0,0,0,0,9
,IKER MUNOZ,CA OSASUNA,619,11,11.11,4,11.11,6,11.11,2,11.11,2,0,0,1,0,0,10
,ILIAS AKHOMACH,VILLARREAL B,555,14,22.22,0,22.22,4,22.22,4,22.22,3,0,0,0,0,0,16
,ILKAY GUNDOGAN,FC BARCELONA,1477,18,16.67,13,16.67,16,16.67,3,16.67,2,0,0,2,0,0,20
,IMANOL GARCIA DE ALBENIZ,ATHLETIC CLUB,259,4,11.11,1,11.11,3,11.11,2,11.11,0,0,0,0,0,0,4
,FRANCISCO ROMAN ALARCON SUAREZ,REAL BETIS,1414,17,44.44,9,44.44,17,44.44,8,44.44,5,0,0,2,0,0,16
,ISI PALAZON,RAYO VALLECANO,1386,18,61.11,6,61.11,17,61.11,11,61.11,2,0,0,2,0,0,16
