Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Melero,UD Almería,601.397€,21,14,271,0,0,1,3,2,3,0,17,43,0,4,0,0,0,1,0,0,0,0
Alkain,Deportivo Alavés,492.052€,21,12,755,0,0,1,11,7,9,0,37,146,0,10,0,0,0,6,0,0,0,0
Alejo,Cádiz CF,511.683€,21,12,242,0,1,2,2,3,3,0,20,47,0,4,0,0,0,2,0,0,0,0
Ruibal,Real Betis,530.721€,21,14,272,0,0,0,0,2,2,3,14,51,0,3,0,0,0,1,0,1,0,0
Amath,RCD Mallorca,524.808€,21,7,225,0,0,0,0,4,0,0,21,31,0,4,0,10,0,0,0,0,0,0
Vieites,Real Betis,488.324€,21,10,258,1,0,0,0,7,1,1,18,57,0,5,0,0,0,1,0,0,0,0
Iker Muñoz,C.A. Osasuna,531.692€,21,10,367,1,1,0,0,7,7,1,9,65,0,6,0,0,0,2,0,0,0,0
Sory Kaba,UD Las Palmas,591.881€,21,10,435,0,0,0,0,7,7,0,38,35,0,8,0,0,0,3,0,0,0,0
Soumaré,Sevilla FC,1.273.116€,20,5,270,0,1,1,2,9,3,0,23,37,0,5,0,0,0,0,0,0,0,0
Sabaly,Real Betis,1.392.336€,20,14,424,1,0,0,0,20,3,1,16,41,0,16,0,0,0,1,0,0,0,0
Kaiky,UD Almería,530.368€,20,10,330,0,0,0,0,22,0,1,25,23,0,8,0,0,0,0,0,0,0,0
Meré,Cádiz CF,488.209€,20,10,370,0,0,0,1,6,2,0,36,34,0,9,0,0,0,0,0,0,0,0
Fernando,Sevilla FC,690.178€,20,11,289,0,0,0,0,4,2,2,28,36,0,4,0,0,0,2,0,0,0,0
